@relation traffic_analysis
 
@attribute numPackSent numeric
@attribute numPackRec numeric
@attribute totalPackets numeric
@attribute numberAck numeric
@attribute headerBytesSent numeric
@attribute headerBytesRec numeric
@attribute totalHeaderBytes numeric
@attribute caplenSent numeric
@attribute caplenRec numeric
@attribute minPackLength numeric
@attribute maxPackLength numeric
@attribute avPackLength numeric
@attribute avPayload numeric
@attribute payloadSent numeric
@attribute payloadRec numeric
@attribute totalPayload numeric
@attribute totalSize numeric
@attribute class {TOR,SSH,SSLWEB,SSLp2p,SCP,SKYPE}
 
@data
20,20,40,40,640,640,1280,1912,2696,346,650,395.0,49.0,592,1376,1968,15808,SSH
1102,1077,2179,37,9080,8832,17912,148664,155924,334,915,451.0,97.0,102096,110408,212504,984180,SKYPE
1113,1100,2213,54,9264,9088,18352,137561,168247,334,812,450.0,95.0,90455,121586,212041,996904,SKYPE
25,28,53,51,512,572,1084,2962,5274,334,1614,435.0,100.0,1600,3708,5308,23076,SSH
944,1505,2449,2449,38132,48160,86292,70996,2253058,346,1778,1228.0,879.0,768,2153728,2154496,3009774,SCP
57,57,114,112,1840,1840,3680,6122,26546,346,1794,566.0,220.0,2344,22768,25112,64588,SSH
30,32,62,61,968,1032,2000,3376,4740,346,1042,410.0,64.0,1388,2620,4008,25476,SSH
36,37,73,72,1160,1192,2352,3964,5310,346,1042,407.0,60.0,1580,2860,4440,29714,SSH
23,23,46,46,736,736,1472,2254,2830,346,554,390.0,44.0,736,1312,2048,17964,SSH
1090,1048,2138,45,8996,8648,17644,161650,141062,334,1505,453.0,99.0,115234,96658,211892,970632,SKYPE
1082,1076,2158,27,8836,8752,17588,145131,143943,334,1505,446.0,91.0,99507,98543,198050,963106,SKYPE
31,34,65,63,724,812,1536,2508,2899,334,739,380.0,24.0,730,881,1611,24727,TOR
37,38,75,74,1192,1224,2416,4014,9248,346,1794,456.0,110.0,1564,6732,8296,34262,SSH
1100,1087,2187,50,9112,8996,18108,140159,154256,334,915,446.0,92.0,93607,108178,201785,977175,SKYPE
1187,1290,2477,405,11428,13576,25004,133525,445730,334,1858,544.0,189.0,81739,388123,469862,1348431,SKYPE
26,26,52,52,832,832,1664,2324,12180,346,1794,558.0,212.0,608,10464,11072,29064,SSH
355,344,699,671,7800,7756,15556,120745,34914,334,1814,517.0,165.0,100875,14656,115531,361747,SSLp2p
45,45,90,88,1456,1456,2912,5314,7106,346,1042,418.0,71.0,2328,4120,6448,37620,SSH
1096,1076,2172,24,8936,8728,17664,168770,142482,334,1647,456.0,101.0,122430,97118,219548,991156,SKYPE
293,271,564,538,6396,5900,12296,97522,27386,334,1814,517.0,164.0,81164,11610,92774,291596,SSLp2p
700,1084,1784,1784,22400,44300,66700,2543608,82068,346,7506,1751.0,1400.0,2497408,912,2498320,3125196,SCP
1053,1043,2096,48,8700,8672,17372,158250,140787,334,1828,454.0,100.0,113748,96577,210325,953629,SKYPE
21,21,42,42,672,672,1344,1978,2554,346,554,387.0,41.0,592,1168,1760,16292,SSH
32,32,64,63,1032,1032,2064,3652,4604,346,1042,409.0,62.0,1532,2484,4016,26176,SSH
660,521,1181,1156,17888,15528,33416,458740,42646,334,1814,721.0,361.0,418412,8687,427099,852514,SSLp2p
1087,1083,2170,55,9056,9000,18056,149418,144920,334,915,447.0,93.0,103404,98964,202368,971634,SKYPE
54,53,107,105,1744,1712,3456,5956,17178,346,1794,496.0,149.0,2376,13664,16040,53094,SSH
694,581,1275,1235,14756,14084,28840,421985,49321,334,1814,666.0,311.0,383633,13845,397478,849458,SSLp2p
1034,1030,2064,9,8320,8300,16620,142670,135234,340,630,447.0,92.0,99194,91872,191066,923024,SKYPE
1056,1050,2106,31,8676,8580,17256,141232,141686,334,915,447.0,92.0,96652,97338,193990,941814,SKYPE
291,277,568,527,6228,5832,12060,69238,94755,334,1794,568.0,232.0,53116,78796,131912,323033,SSLWEB
1858,1212,3070,3056,41612,32388,74000,1508783,89590,334,1814,820.0,461.0,1403999,12190,1416189,2517877,SSLp2p
291,277,568,527,6228,5832,12060,69238,94755,334,1794,568.0,232.0,53116,78796,131912,323033,SSLWEB
274,476,750,738,5408,9556,14964,40619,637022,334,1794,1183.0,849.0,25875,611192,637067,887769,SSLWEB
243,278,521,497,4764,5656,10420,87256,167105,334,1764,768.0,433.0,74230,151583,225813,400625,SSLWEB
285,308,593,566,6036,6460,12496,49473,220675,334,1858,739.0,399.0,33747,203239,236986,438268,SSLWEB
337,305,642,620,7240,7236,14476,167136,28641,334,1814,600.0,247.0,148438,10448,158886,385713,SSLp2p
36,37,73,72,1160,1192,2352,3948,7222,346,1794,433.0,86.0,1564,4772,6336,31610,SSH
29,29,58,58,928,928,1856,2506,17098,346,1794,618.0,272.0,592,15184,15776,35844,SSH
30,31,61,59,612,620,1232,2950,2268,334,839,380.0,29.0,1318,480,1798,23226,TOR
742,1116,1858,1858,23744,46996,70740,2544948,85852,346,7506,1695.0,1343.0,2495976,912,2496888,3151040,SCP
19,20,39,39,608,640,1248,1798,4280,346,1794,435.0,89.0,544,2960,3504,16998,SSH
291,277,568,527,6228,5832,12060,69238,94755,334,1794,568.0,232.0,53116,78796,131912,323033,SSLWEB
274,476,750,738,5408,9556,14964,40619,637022,334,1794,1183.0,849.0,25875,611192,637067,887769,SSLWEB
243,278,521,497,4764,5656,10420,87256,167105,334,1764,768.0,433.0,74230,151583,225813,400625,SSLWEB
285,308,593,566,6036,6460,12496,49473,220675,334,1858,739.0,399.0,33747,203239,236986,438268,SSLWEB
994,714,1708,1678,20576,16912,37488,694781,57923,334,1814,738.0,383.0,640409,14095,654504,1262176,SSLp2p
31,40,71,69,900,1208,2108,2802,3237,334,739,379.0,21.0,848,651,1499,26975,TOR
424,321,745,727,10952,8940,19892,294206,27802,334,1814,729.0,370.0,268838,7216,276054,543536,SSLp2p
25,25,50,50,800,800,1600,2370,5202,346,1794,431.0,85.0,720,3552,4272,21572,SSH
959,1513,2472,2472,39512,48416,87928,72886,2253586,346,1778,1221.0,871.0,768,2153728,2154496,3018632,SCP
1046,1040,2086,36,8584,8536,17120,125290,154932,334,1648,447.0,92.0,81122,110952,192074,932686,SKYPE
37,38,75,74,1192,1224,2416,4014,8496,346,1794,446.0,100.0,1564,5980,7544,33510,SSH
719,1095,1814,1814,23008,45328,68336,2570638,83422,346,7506,1743.0,1391.0,2523184,864,2524048,3161980,SCP
44,44,88,86,1424,1424,2848,5264,6920,346,1042,418.0,72.0,2344,4000,6344,36824,SSH
33,33,66,65,1064,1064,2128,3702,4950,346,1042,411.0,64.0,1516,2764,4280,27132,SSH
23,22,45,45,736,704,1440,2270,2604,346,490,388.0,42.0,752,1152,1904,17474,SSH
878,661,1539,1510,19016,16204,35220,572968,50945,334,1814,702.0,347.0,524100,10362,534462,1081905,SSLp2p
